f,mean,std,n,mean_ms,ci95
10,0.3166629916541146,0.043855155454159175,10,316.6629916541146,27.181706961676205
20,0.40154768561342474,0.1359435235618107,10,401.54768561342473,84.25866885040118
30,0.5029573469400639,0.1589568661288225,10,502.95734694006387,98.52248635115201
40,0.528387222803967,0.07846096845717394,10,528.387222803967,48.630612078470214
50,0.581700013607006,0.07152398758215942,10,581.700013607006,44.33102678705576
100,0.5673560154517975,0.6040216599805199,10,567.3560154517975,374.3765035163869
200,0.19420000907068588,0.0888526536733812,10,194.2000090706859,55.071445304570204
