f,mean,std,n,mean_ms,ci95
10,0.4693368524312973,0.0765174849639657,10,469.3368524312973,47.426028529508436
20,0.5965167112648487,0.16296578937832135,10,596.5167112648487,101.0072427240631
30,0.7355059154331685,0.2116012537579183,10,735.5059154331684,131.1518158539679
40,0.5849736623466015,0.24056111194006005,10,584.9736623466015,149.10132191789006
50,0.7462941177189351,0.13316332647640883,10,746.294117718935,82.53548484413099
