f,mean,std,n,mean_ms,ci95
10,0.21466301282246908,0.0035026647150215606,10,214.66301282246908,2.170974082357054
20,0.34519975830737815,0.0475717135572018,10,345.19975830737815,29.485253539422217
30,0.4771425493832292,0.0636275414290715,10,477.1425493832292,39.4367587551878
40,0.5329129991077242,0.11076748235033494,10,532.9129991077242,68.65439684227364
50,0.7563626993270147,0.15758079540055706,10,756.3626993270148,97.66958887748216
