f,mean,std,n,ci95
10,34.65602240896359,2.1648192061560665,10,1.3417688451304317
20,64.5118382352941,4.203790169270438,10,2.605536141102594
30,54.06065860215053,1.4668961430405525,10,0.9091916489731625
40,118.41424812030075,5.452295169453192,10,3.3793675573571362
50,139.27551948051948,7.122832936488286,10,4.414777592545015
100,120.76924126555704,65.06321698493872,10,40.32659968375127
200,57.75198518903748,5.009457456500736,10,3.104893899234213
