f,p,latency
10,0.0,0.008062714253846155
10,0.5,0.011356264293162393
10,1.0,0.007059974274358974
20,0.0,0.0048166289846938775
20,0.5,0.006270609740816327
20,1.0,0.008938878668367347
30,0.0,0.005908897276836158
30,0.5,0.004528782029661017
30,1.0,0.01324762871118644
40,0.0,0.011354365375239168
40,0.5,0.007684067242015776
40,1.0,0.013742328129501541
50,0.0,0.008290481810577585
50,0.5,0.0187181535979882
50,1.0,0.017866435976884306
