my-first-one,timestamp,node_id,mem_free,mem_used,mem_available,proc_cpu_usage,proc_memory,proc_vmemory,load_avg_1,load_avg_5,load_avg_15,tot_rx_bytes,tot_rx_pkts,tot_rx_errs,tot_tx_bytes,tot_tx_pkts,tot_tx_errs,disk_free_space,disk_tot_reads,disk_tot_writes,gpu_load_perc,gpu_temp_cels,active_power
experiment_name,1771769177.665452,8ab85bfd-6547-4652-8e98-626c622c731e,375184,12888816,12177904,1,67504,435455408,142,215,316,605506560,511709,0,90585,39089152,0,494384795648,3454873600,7914795008,-1,-1,-1
experiment_name,1771769179.659884,8ab85bfd-6547-4652-8e98-626c622c731e,333904,12914704,12161568,3,67504,435455408,138,213,314,605509632,511735,0,90611,39092224,0,494384795648,3455508480,7915417600,-1,-1,-1
experiment_name,1771769181.658414,8ab85bfd-6547-4652-8e98-626c622c731e,368768,12884288,12176112,3,67504,435455408,138,213,314,605514752,511767,0,90642,39096320,0,494384795648,3455508480,7915421696,-1,-1,-1
experiment_name,1771769183.66599,8ab85bfd-6547-4652-8e98-626c622c731e,386080,12896240,12116704,3,67504,435455408,135,211,313,605518848,511795,0,90670,39100416,0,494384795648,3455508480,7915421696,-1,-1,-1
experiment_name,1771769185.668807,8ab85bfd-6547-4652-8e98-626c622c731e,391488,12887424,12146416,3,67504,435455408,135,211,313,605522944,511824,0,90701,39108608,0,494384795648,3455508480,7915421696,-1,-1,-1
experiment_name,1771769187.655531,8ab85bfd-6547-4652-8e98-626c622c731e,394944,12884240,12148400,3,67504,435455408,135,211,313,605526016,511850,0,90727,39111680,0,494384795648,3455508480,7915421696,-1,-1,-1
experiment_name,1771769189.661342,8ab85bfd-6547-4652-8e98-626c622c731e,339872,12960336,12027216,3,67504,435455408,132,209,312,605532160,511903,0,90778,39116800,0,494384795648,3455508480,7915421696,-1,-1,-1
experiment_name,1771769191.668068,8ab85bfd-6547-4652-8e98-626c622c731e,359216,12949616,12106128,3,67504,435455408,132,209,312,605535232,511927,0,90802,39119872,0,494384795648,3455508480,7915421696,-1,-1,-1
experiment_name,1771769193.658779,8ab85bfd-6547-4652-8e98-626c622c731e,369952,12895696,12171536,3,67504,435455408,186,219,315,605538304,511953,0,90828,39122944,0,494384795648,3455508480,7915421696,-1,-1,-1
experiment_name,1771769195.661532,8ab85bfd-6547-4652-8e98-626c622c731e,361776,12944208,12076272,3,67504,435455408,186,219,315,605541376,511981,0,90856,39127040,0,494384795648,3455508480,7915585536,-1,-1,-1
experiment_name,1771769197.66738,8ab85bfd-6547-4652-8e98-626c622c731e,348336,12960736,12037040,4,67504,435455408,186,219,315,605546496,512021,0,90896,39132160,0,494384795648,3455508480,7915585536,-1,-1,-1
experiment_name,1771769199.658234,8ab85bfd-6547-4652-8e98-626c622c731e,335072,12968688,12087072,2,67504,435455408,179,217,313,605550592,512052,0,90930,39140352,0,494384795648,3455938560,7915585536,-1,-1,-1
experiment_name,1771769201.662405,8ab85bfd-6547-4652-8e98-626c622c731e,196048,13166384,11818720,2,67504,435455408,179,217,313,605553664,512080,0,90958,39143424,0,494384795648,3456135168,7917031424,-1,-1,-1
experiment_name,1771769203.661742,8ab85bfd-6547-4652-8e98-626c622c731e,228048,13123728,11901072,3,67504,435455408,245,230,317,605556736,512105,0,90983,39146496,0,494384795648,3456135168,7917031424,-1,-1,-1
experiment_name,1771769205.667653,8ab85bfd-6547-4652-8e98-626c622c731e,229552,13101760,11921328,3,67504,435455408,245,230,317,605561856,512132,0,91015,39156736,0,494384795648,3456151552,7917031424,-1,-1,-1
experiment_name,1771769207.675719,8ab85bfd-6547-4652-8e98-626c622c731e,65488,13306304,11685200,2,67504,435455408,245,230,317,605595648,512202,0,91067,39172096,0,494384795648,3456466944,7917301760,-1,-1,-1
experiment_name,1771769209.671038,8ab85bfd-6547-4652-8e98-626c622c731e,150032,13141200,11966528,4,67504,435455408,241,229,317,605598720,512226,0,91091,39175168,0,494384795648,3456479232,7917301760,-1,-1,-1
experiment_name,1771769211.671061,8ab85bfd-6547-4652-8e98-626c622c731e,190144,13127760,11904512,3,67504,435455408,241,229,317,605603840,512264,0,91135,39194624,0,494384795648,3456483328,7917764608,-1,-1,-1
experiment_name,1771769213.674519,8ab85bfd-6547-4652-8e98-626c622c731e,229008,13086224,11931392,4,67504,435455408,254,232,317,605607936,512292,0,91163,39197696,0,494384795648,3456483328,7917821952,-1,-1,-1
experiment_name,1771769215.675557,8ab85bfd-6547-4652-8e98-626c622c731e,219104,12905680,12285600,3,67504,435455408,254,232,317,605611008,512328,0,91205,39217152,0,494384795648,3456483328,7917821952,-1,-1,-1
experiment_name,1771769217.659724,8ab85bfd-6547-4652-8e98-626c622c731e,262064,13049200,11953184,4,67504,435455408,254,232,317,605615104,512357,0,91234,39220224,0,494384795648,3456483328,7918272512,-1,-1,-1
