my-first-one,timestamp,node_id,num_cpus,model_name_cpu,clock_freq_cpu,num_cores,mem_size,labels,is_tee_running,has_tpm,runtimes,disk_tot_space,num_gpus,model_name_gpu,mem_size_gpu
experiment_name,1771859566.777814,8ab85bfd-6547-4652-8e98-626c622c731e,8,Apple M3,4056,8,24576,[hostname=Mohameds-MacBook-Air.local;hostname=eduroam-55-173.pi.cnr.it],false,false,[RUST_WASM],471482,0,,0
experiment_name,1771860076.267193,8ab85bfd-6547-4652-8e98-626c622c731e,8,Apple M3,4056,8,24576,[hostname=Mohameds-MacBook-Air.local;hostname=eduroam-55-173.pi.cnr.it],false,false,[RUST_WASM],471482,0,,0
experiment_name,1771944221.651488,8ab85bfd-6547-4652-8e98-626c622c731e,8,Apple M3,4056,8,24576,[hostname=Mohameds-MacBook-Air.local],false,false,[RUST_WASM],471482,0,,0
experiment_name,1771945090.896075,8ab85bfd-6547-4652-8e98-626c622c731e,8,Apple M3,4056,8,24576,[hostname=Mohameds-MacBook-Air.local],false,false,[RUST_WASM],471482,0,,0
experiment_name,1771946528.47354,8ab85bfd-6547-4652-8e98-626c622c731e,8,Apple M3,4056,8,24576,[hostname=Mohameds-MacBook-Air.local],false,false,[RUST_WASM],471482,0,,0
experiment_name,1771947351.435441,8ab85bfd-6547-4652-8e98-626c622c731e,8,Apple M3,4056,8,24576,[hostname=Mohameds-MacBook-Air.local],false,false,[RUST_WASM],471482,0,,0
experiment_name,1771948328.240927,8ab85bfd-6547-4652-8e98-626c622c731e,8,Apple M3,4056,8,24576,[hostname=Mohameds-MacBook-Air.local],false,false,[RUST_WASM],471482,0,,0
experiment_name,1771948674.812805,8ab85bfd-6547-4652-8e98-626c622c731e,8,Apple M3,4056,8,24576,[hostname=Mohameds-MacBook-Air.local],false,false,[RUST_WASM],471482,0,,0
experiment_name,1771949623.599337,8ab85bfd-6547-4652-8e98-626c622c731e,8,Apple M3,4056,8,24576,[hostname=Mohameds-MacBook-Air.local],false,false,[RUST_WASM],471482,0,,0
experiment_name,1771950635.211703,8ab85bfd-6547-4652-8e98-626c622c731e,8,Apple M3,4056,8,24576,[hostname=Mohameds-MacBook-Air.local],false,false,[RUST_WASM],471482,0,,0
experiment_name,1771950698.97502,8ab85bfd-6547-4652-8e98-626c622c731e,8,Apple M3,4056,8,24576,[hostname=Mohameds-MacBook-Air.local],false,false,[RUST_WASM],471482,0,,0
experiment_name,1772803857.75699,8ab85bfd-6547-4652-8e98-626c622c731e,8,Apple M3,4056,8,24576,[hostname=Mohameds-MacBook-Air.local],false,false,[RUST_WASM],471482,0,,0
experiment_name,1772803981.412215,8ab85bfd-6547-4652-8e98-626c622c731e,8,Apple M3,4056,8,24576,[hostname=Mohameds-MacBook-Air.local],false,false,[RUST_WASM],471482,0,,0
experiment_name,1772808698.766331,8ab85bfd-6547-4652-8e98-626c622c731e,8,Apple M3,4056,8,24576,[hostname=Mohameds-MacBook-Air.local],false,false,[RUST_WASM],471482,0,,0
